method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
NonLinearSVM,Non Linear Support Vector Classification,163.77465653419495,149.85255789756775,215,199,51,35,0.86,0.796,0.8082706766917294,0.828,0.17200000000000004,0.8333333333333333,1.3272890831730488,0.005088292358343852,0.00556102174714269,"<a href=""./images/NonLinearSVM_confusion_matrix_8ed1eb0e-594b-11ec-b535-68f728e1134a.png""><img src=""./images/NonLinearSVM_confusion_matrix_8ed1eb0e-594b-11ec-b535-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_8eef3039-594b-11ec-8b1c-68f728e1134a.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_8eef3039-594b-11ec-8b1c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_8ea58f1e-594b-11ec-93e5-68f728e1134a.png""><img src=""./images/NonLinearSVM_roc_8ea58f1e-594b-11ec-93e5-68f728e1134a.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,1725.171673297882,25.48913335800171,217,194,56,33,0.868,0.776,0.7948717948717948,0.822,0.17800000000000005,0.8298279158699808,1.3027988902311587,0.00048101179071857855,0.03255614477804425,"<a href=""./images/AdaBoostClassifier_confusion_matrix_b3b0926b-594f-11ec-9184-68f728e1134a.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_b3b0926b-594f-11ec-9184-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_b3ccebf5-594f-11ec-bba7-68f728e1134a.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_b3ccebf5-594f-11ec-bba7-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_b38ded85-594f-11ec-aee3-68f728e1134a.png""><img src=""./images/AdaBoostClassifier_roc_b38ded85-594f-11ec-aee3-68f728e1134a.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,4299.135280609131,0.1303696632385254,207,203,47,43,0.828,0.812,0.8149606299212598,0.82,0.18000000000000005,0.8214285714285714,1.2937659042619671,0.00019106832370071076,6.300764694971092,"<a href=""./images/RealBoost_confusion_matrix_ca0eb022-5948-11ec-a6d5-68f728e1134a.png""><img src=""./images/RealBoost_confusion_matrix_ca0eb022-5948-11ec-a6d5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_ca2cdec9-5948-11ec-b574-68f728e1134a.png""><img src=""./images/RealBoost_confusion_matrix_percentage_ca2cdec9-5948-11ec-b574-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_c9e85bd1-5948-11ec-9a30-68f728e1134a.png""><img src=""./images/RealBoost_roc_c9e85bd1-5948-11ec-9a30-68f728e1134a.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,634.6298673152924,1.261373519897461,205,204,46,45,0.82,0.816,0.8167330677290837,0.818,0.18200000000000005,0.8183632734530939,1.2857054929500047,0.0012895126996071875,0.6487874214448548,"<a href=""./images/LinearSVM_confusion_matrix_781fe436-594a-11ec-8303-68f728e1134a.png""><img src=""./images/LinearSVM_confusion_matrix_781fe436-594a-11ec-8303-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_78472569-594a-11ec-ae31-68f728e1134a.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_78472569-594a-11ec-ae31-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_77f19665-594a-11ec-9df0-68f728e1134a.png""><img src=""./images/LinearSVM_roc_77f19665-594a-11ec-9df0-68f728e1134a.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.2525289058685303,10.27678108215332,211,193,57,39,0.844,0.772,0.7873134328358209,0.808,0.19199999999999995,0.8146718146718146,1.2493005839528228,3.226053714009053,0.07927305331886221,"<a href=""./images/KNeighborsClassifier_confusion_matrix_fa25b075-5948-11ec-927a-68f728e1134a.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_fa25b075-5948-11ec-927a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_fa436a1c-5948-11ec-ba79-68f728e1134a.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_fa436a1c-5948-11ec-ba79-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_f9f0fc29-5948-11ec-b426-68f728e1134a.png""><img src=""./images/KNeighborsClassifier_roc_f9f0fc29-5948-11ec-b426-68f728e1134a.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,545.5276443958282,270.87376165390015,200,170,80,50,0.8,0.68,0.7142857142857143,0.74,0.26,0.7547169811320756,1.0554024466099938,0.0013834623944088563,0.0027862314036026493,"<a href=""./images/DiscreteNBC_confusion_matrix_c4bad6ba-593e-11ec-8460-68f728e1134a.png""><img src=""./images/DiscreteNBC_confusion_matrix_c4bad6ba-593e-11ec-8460-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_c4d7700f-593e-11ec-aedc-68f728e1134a.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_c4d7700f-593e-11ec-aedc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_c48bff0d-593e-11ec-8f03-68f728e1134a.png""><img src=""./images/DiscreteNBC_roc_c48bff0d-593e-11ec-8f03-68f728e1134a.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),9.24139952659607,4.80908727645874,206,154,96,44,0.824,0.616,0.6821192052980133,0.72,0.28,0.7463768115942029,1.01454318346976,0.08076447830722881,0.155201344597724,"<a href=""./images/GaussianNBC_confusion_matrix_e5f02c39-5948-11ec-a572-68f728e1134a.png""><img src=""./images/GaussianNBC_confusion_matrix_e5f02c39-5948-11ec-a572-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_e62fe7b4-5948-11ec-89b5-68f728e1134a.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_e62fe7b4-5948-11ec-89b5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_e5cbb31d-5948-11ec-9908-68f728e1134a.png""><img src=""./images/GaussianNBC_roc_e5cbb31d-5948-11ec-9908-68f728e1134a.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,4.952245235443115,0.8727226257324219,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,0.8955665134650146,0.1394614864933261,0.791371120274063,"<a href=""./images/ComplementNBC_confusion_matrix_d8a3045e-5948-11ec-97c4-68f728e1134a.png""><img src=""./images/ComplementNBC_confusion_matrix_d8a3045e-5948-11ec-97c4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/ComplementNBC_confusion_matrix_percentage_d8beda02-5948-11ec-87c8-68f728e1134a.png""><img src=""./images/ComplementNBC_confusion_matrix_percentage_d8beda02-5948-11ec-87c8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/ComplementNBC_roc_d8807205-5948-11ec-986c-68f728e1134a.png""><img src=""./images/ComplementNBC_roc_d8807205-5948-11ec-986c-68f728e1134a.png"" width=200 height=200 /></a>"
MultinomialNBC,Naive Bayes classifier for multinomial models,4.861337661743164,0.8491878509521484,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,0.8955665134650146,0.14206943233948044,0.8133035361257263,"<a href=""./images/MultinomialNBC_confusion_matrix_ebfe8e21-5948-11ec-afab-68f728e1134a.png""><img src=""./images/MultinomialNBC_confusion_matrix_ebfe8e21-5948-11ec-afab-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/MultinomialNBC_confusion_matrix_percentage_ec19323c-5948-11ec-8b80-68f728e1134a.png""><img src=""./images/MultinomialNBC_confusion_matrix_percentage_ec19323c-5948-11ec-8b80-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/MultinomialNBC_roc_ebdb6b0a-5948-11ec-a059-68f728e1134a.png""><img src=""./images/MultinomialNBC_roc_ebdb6b0a-5948-11ec-a059-68f728e1134a.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,6.499290704727173,1.4490840435028076,203,71,179,47,0.812,0.284,0.5314136125654451,0.548,0.45199999999999996,0.6424050632911393,0.7599828309552116,0.09884233410638095,0.4433180160746796,"<a href=""./images/BernoulliNBC_confusion_matrix_d2b5e9bb-5948-11ec-9199-68f728e1134a.png""><img src=""./images/BernoulliNBC_confusion_matrix_d2b5e9bb-5948-11ec-9199-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_d2d193a9-5948-11ec-8b25-68f728e1134a.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_d2d193a9-5948-11ec-8b25-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_d28e4ea5-5948-11ec-ba9a-68f728e1134a.png""><img src=""./images/BernoulliNBC_roc_d28e4ea5-5948-11ec-ba9a-68f728e1134a.png"" width=200 height=200 /></a>"
