method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
MLP,Multi-layer Perceptron classifier.,0.624657154083252,0.0,109,81,44,16,0.872,0.648,0.7124183006535948,0.76,0.24,0.7841726618705036,1.107994827667278,1.2553648937573714,inf,"<a href=""./images/MLP_confusion_matrix_48039adc-71fc-11ec-9943-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_48039adc-71fc-11ec-9943-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_confusion_matrix_percentage_4835aca2-71fc-11ec-a8b6-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_percentage_4835aca2-71fc-11ec-a8b6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_roc_47d65180-71fc-11ec-8823-f0421cdfcb2c.png""><img src=""./images/MLP_roc_47d65180-71fc-11ec-8823-f0421cdfcb2c.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,5.906250476837158,0.09374475479125977,111,78,47,14,0.888,0.624,0.7025316455696202,0.756,0.244,0.784452296819788,1.0991153785406265,0.13281730937355507,8.36795934414163,"<a href=""./images/AdaBoostClassifier_confusion_matrix_4ed4d81e-71fc-11ec-ab67-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_4ed4d81e-71fc-11ec-ab67-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_4effdf78-71fc-11ec-9a85-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_4effdf78-71fc-11ec-9a85-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_4ea2c494-71fc-11ec-8e01-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_roc_4ea2c494-71fc-11ec-8e01-f0421cdfcb2c.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,0.04689669609069824,0.03125262260437012,118,66,59,7,0.944,0.528,0.6666666666666666,0.736,0.264,0.7814569536423842,1.0569830222757375,16.663369038429614,25.004524053386533,"<a href=""./images/NonLinearSVM_confusion_matrix_418113dc-71fc-11ec-a018-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_418113dc-71fc-11ec-a018-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_41a9a740-71fc-11ec-9b55-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_41a9a740-71fc-11ec-9b55-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_415628be-71fc-11ec-a5b4-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_roc_415628be-71fc-11ec-a5b4-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LP,Linear perceptron classifier,0.01562190055847168,0.0,101,83,42,24,0.808,0.664,0.7062937062937062,0.736,0.264,0.753731343283582,1.0470829210590407,48.248376723588684,inf,"<a href=""./images/LP_confusion_matrix_448cb310-71fc-11ec-898e-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_448cb310-71fc-11ec-898e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_confusion_matrix_percentage_44b53f7a-71fc-11ec-991b-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_percentage_44b53f7a-71fc-11ec-991b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_roc_44584050-71fc-11ec-9a41-f0421cdfcb2c.png""><img src=""./images/LP_roc_44584050-71fc-11ec-9a41-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,0.15627503395080566,0.0,100,82,43,25,0.8,0.656,0.6993006993006993,0.728,0.272,0.746268656716418,1.0291114571118083,4.775354308682079,inf,"<a href=""./images/LinearSVM_confusion_matrix_3e305f34-71fc-11ec-a2e6-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_3e305f34-71fc-11ec-a2e6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_3e5ffcd0-71fc-11ec-a227-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_3e5ffcd0-71fc-11ec-a227-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_3ddf3af6-71fc-11ec-b6cd-f0421cdfcb2c.png""><img src=""./images/LinearSVM_roc_3ddf3af6-71fc-11ec-b6cd-f0421cdfcb2c.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.0,0.015540361404418945,115,52,73,10,0.92,0.416,0.6117021276595744,0.668,0.33199999999999996,0.7348242811501596,0.9301871726181457,inf,47.28489010179714,"<a href=""./images/KNeighborsClassifier_confusion_matrix_3b0cd47e-71fc-11ec-802f-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_3b0cd47e-71fc-11ec-802f-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_3b3a220c-71fc-11ec-8ed3-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_3b3a220c-71fc-11ec-8ed3-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_3ad869a4-71fc-11ec-bdb4-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_roc_3ad869a4-71fc-11ec-bdb4-f0421cdfcb2c.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,28.92193579673767,0.01554560661315918,107,57,68,18,0.856,0.456,0.6114285714285714,0.656,0.344,0.7133333333333333,0.9053071982281284,0.024664093660487125,45.88649070339299,"<a href=""./images/RealBoost_confusion_matrix_31e9f408-71fc-11ec-937d-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_31e9f408-71fc-11ec-937d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_32128754-71fc-11ec-ac0b-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_32128754-71fc-11ec-ac0b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_31b0ba28-71fc-11ec-8936-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_31b0ba28-71fc-11ec-8936-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,103,60,65,22,0.824,0.48,0.6130952380952381,0.652,0.348,0.7030716723549488,0.8958016818260788,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_34ff1adc-71fc-11ec-bb16-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_34ff1adc-71fc-11ec-bb16-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_3527aa2e-71fc-11ec-86ff-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_3527aa2e-71fc-11ec-86ff-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_34cf6afa-71fc-11ec-aaa7-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_34cf6afa-71fc-11ec-aaa7-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,114,23,102,11,0.912,0.184,0.5277777777777778,0.548,0.45199999999999996,0.6686217008797654,0.7727275662707579,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_37f54500-71fc-11ec-bac7-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_37f54500-71fc-11ec-bac7-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_38203058-71fc-11ec-9a1d-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_38203058-71fc-11ec-9a1d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_37ca5bee-71fc-11ec-96c5-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_37ca5bee-71fc-11ec-96c5-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,0.32814526557922363,0.15624213218688965,72,68,57,53,0.576,0.544,0.5581395348837209,0.56,0.43999999999999995,0.5669291338582677,0.7345512476902332,1.7276773225953943,3.6285291676647957,"<a href=""./images/DiscreteNBC_confusion_matrix_1d8bbb3e-71fc-11ec-8229-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_1d8bbb3e-71fc-11ec-8229-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_1db44268-71fc-11ec-8b21-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_1db44268-71fc-11ec-8b21-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_1d5c09ae-71fc-11ec-9d74-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_1d5c09ae-71fc-11ec-9d74-f0421cdfcb2c.png"" width=200 height=200 /></a>"
