method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
MLP,Multi-layer Perceptron classifier.,0.6405994892120361,0.0,106,82,43,19,0.848,0.656,0.7114093959731543,0.752,0.248,0.7737226277372262,1.0868280599175415,1.207810247693043,inf,"<a href=""./images/MLP_confusion_matrix_88aa21f8-71fb-11ec-9242-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_88aa21f8-71fb-11ec-9242-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_confusion_matrix_percentage_88d2ab18-71fb-11ec-b8d8-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_percentage_88d2ab18-71fb-11ec-b8d8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_roc_887a7340-71fb-11ec-85f9-f0421cdfcb2c.png""><img src=""./images/MLP_roc_887a7340-71fb-11ec-85f9-f0421cdfcb2c.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,2.000049591064453,0.0780482292175293,111,76,49,14,0.888,0.608,0.69375,0.748,0.252,0.7789473684210526,1.080074081035923,0.38946402724268775,9.98033365049241,"<a href=""./images/AdaBoostClassifier_confusion_matrix_8d38045e-71fb-11ec-bd19-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_8d38045e-71fb-11ec-bd19-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_8d608a08-71fb-11ec-9c8e-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_8d608a08-71fb-11ec-9c8e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_8d05f012-71fb-11ec-b417-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_roc_8d05f012-71fb-11ec-b417-f0421cdfcb2c.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,0.031198978424072266,0.0,117,65,60,8,0.936,0.52,0.6610169491525424,0.728,0.272,0.7748344370860928,1.03956597228183,24.83525026217692,inf,"<a href=""./images/NonLinearSVM_confusion_matrix_81fa4b18-71fb-11ec-a11d-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_81fa4b18-71fb-11ec-a11d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_8222d764-71fb-11ec-b47c-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_8222d764-71fb-11ec-b47c-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_81c8387e-71fb-11ec-aa3a-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_roc_81c8387e-71fb-11ec-aa3a-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LP,Linear perceptron classifier,0.0,0.0,100,82,43,25,0.8,0.656,0.6993006993006993,0.728,0.272,0.746268656716418,1.0291114571118083,inf,inf,"<a href=""./images/LP_confusion_matrix_853cc5ac-71fb-11ec-9ca6-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_853cc5ac-71fb-11ec-9ca6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_confusion_matrix_percentage_856a1792-71fb-11ec-849b-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_percentage_856a1792-71fb-11ec-849b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_roc_850f715a-71fb-11ec-bfb2-f0421cdfcb2c.png""><img src=""./images/LP_roc_850f715a-71fb-11ec-bfb2-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,3.359344244003296,0.0,113,68,57,12,0.904,0.544,0.6647058823529411,0.724,0.276,0.7661016949152543,1.0290402762726314,0.22805096449487378,inf,"<a href=""./images/GradientBoostingClassifier_confusion_matrix_926cc300-71fb-11ec-910a-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_926cc300-71fb-11ec-910a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_confusion_matrix_percentage_929555b6-71fb-11ec-af16-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_percentage_929555b6-71fb-11ec-af16-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_roc_923d15fe-71fb-11ec-a83f-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_roc_923d15fe-71fb-11ec-a83f-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,109,61,64,16,0.872,0.488,0.630057803468208,0.68,0.31999999999999995,0.7315436241610737,0.9452775924273578,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_75e60774-71fb-11ec-88b4-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_75e60774-71fb-11ec-88b4-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_760e8768-71fb-11ec-8eb8-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_760e8768-71fb-11ec-8eb8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_75b18bd4-71fb-11ec-9941-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_75b18bd4-71fb-11ec-9941-f0421cdfcb2c.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.0,0.03121018409729004,111,57,68,14,0.888,0.456,0.6201117318435754,0.672,0.32799999999999996,0.7302631578947367,0.9336208009122138,inf,23.39823294916562,"<a href=""./images/KNeighborsClassifier_confusion_matrix_7bc66b80-71fb-11ec-8cbe-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_7bc66b80-71fb-11ec-8cbe-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_7bf15618-71fb-11ec-b1ca-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_7bf15618-71fb-11ec-b1ca-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_7b96bd48-71fb-11ec-8a12-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_roc_7b96bd48-71fb-11ec-8a12-f0421cdfcb2c.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,6.937621116638184,0.0,102,61,64,23,0.816,0.488,0.6144578313253012,0.652,0.348,0.7010309278350515,0.8949175688891364,0.10104773899424987,inf,"<a href=""./images/RealBoost_confusion_matrix_72efd950-71fb-11ec-bbdd-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_72efd950-71fb-11ec-bbdd-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_731866ac-71fb-11ec-8361-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_731866ac-71fb-11ec-8361-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_72c28798-71fb-11ec-b667-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_72c28798-71fb-11ec-b667-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,0.06252908706665039,0.0,106,54,71,19,0.848,0.432,0.5988700564971752,0.64,0.36,0.7019867549668874,0.8806581609109391,11.226563314743947,inf,"<a href=""./images/LinearSVM_confusion_matrix_7ede0394-71fb-11ec-a005-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_7ede0394-71fb-11ec-a005-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_7f08e6e4-71fb-11ec-95c8-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_7f08e6e4-71fb-11ec-95c8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_7ea25d0a-71fb-11ec-8a5d-f0421cdfcb2c.png""><img src=""./images/LinearSVM_roc_7ea25d0a-71fb-11ec-8a5d-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,108,30,95,17,0.864,0.24,0.5320197044334976,0.552,0.44799999999999995,0.6585365853658536,0.7712845488405623,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_78970cec-71fb-11ec-a980-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_78970cec-71fb-11ec-a980-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_78c4555c-71fb-11ec-b19b-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_78c4555c-71fb-11ec-b19b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_786c1c80-71fb-11ec-98b5-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_786c1c80-71fb-11ec-98b5-f0421cdfcb2c.png"" width=200 height=200 /></a>"
