method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
LP,Linear perceptron classifier,0.0,0.0,106,92,33,19,0.848,0.736,0.762589928057554,0.792,0.20799999999999996,0.8030303030303031,1.1961433750901378,inf,inf,"<a href=""./images/LP_confusion_matrix_4a85f4fa-71fe-11ec-b66e-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_4a85f4fa-71fe-11ec-b66e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_confusion_matrix_percentage_4ab0deb4-71fe-11ec-a05e-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_percentage_4ab0deb4-71fe-11ec-a05e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_roc_4a5646d4-71fe-11ec-ab35-f0421cdfcb2c.png""><img src=""./images/LP_roc_4a5646d4-71fe-11ec-ab35-f0421cdfcb2c.png"" width=200 height=200 /></a>"
MLP,Multi-layer Perceptron classifier.,0.7186760902404785,0.0,109,80,45,16,0.872,0.64,0.7077922077922078,0.756,0.244,0.7813620071684588,1.0980962899372206,1.08722415811413,inf,"<a href=""./images/MLP_confusion_matrix_4f6c0be6-71fe-11ec-8300-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_4f6c0be6-71fe-11ec-8300-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_confusion_matrix_percentage_4f9230b6-71fe-11ec-b9a0-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_percentage_4f9230b6-71fe-11ec-b9a0-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_roc_4f3ebc8a-71fe-11ec-be56-f0421cdfcb2c.png""><img src=""./images/MLP_roc_4f3ebc8a-71fe-11ec-be56-f0421cdfcb2c.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,0.01562643051147461,0.015624046325683594,118,66,59,7,0.944,0.528,0.6666666666666666,0.736,0.264,0.7814569536423842,1.0569830222757375,50.00866660294264,50.016297785662985,"<a href=""./images/NonLinearSVM_confusion_matrix_475b53fe-71fe-11ec-a7e6-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_475b53fe-71fe-11ec-a7e6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_47864c52-71fe-11ec-9ac6-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_47864c52-71fe-11ec-9ac6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_47247eec-71fe-11ec-bff3-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_roc_47247eec-71fe-11ec-bff3-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,0.07800936698913574,0.0,100,85,40,25,0.8,0.68,0.7142857142857143,0.74,0.26,0.7547169811320756,1.0554024466099938,9.67469690193979,inf,"<a href=""./images/LinearSVM_confusion_matrix_4424cbb0-71fe-11ec-9a39-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_4424cbb0-71fe-11ec-9a39-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_444fb66e-71fe-11ec-8fec-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_444fb66e-71fe-11ec-8fec-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_43edf626-71fe-11ec-9eab-f0421cdfcb2c.png""><img src=""./images/LinearSVM_roc_43edf626-71fe-11ec-9eab-f0421cdfcb2c.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,13.12494969367981,0.3282461166381836,109,73,52,16,0.872,0.584,0.6770186335403726,0.728,0.272,0.7622377622377622,1.0348678032964478,0.05807548067058956,2.3221531759291314,"<a href=""./images/AdaBoostClassifier_confusion_matrix_5ade3554-71fe-11ec-a572-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_5ade3554-71fe-11ec-a572-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_5b06bccc-71fe-11ec-8a87-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_5b06bccc-71fe-11ec-8a87-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_5ab0e938-71fe-11ec-870f-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_roc_5ab0e938-71fe-11ec-870f-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,27.51578187942505,0.0,113,66,59,12,0.904,0.528,0.6569767441860465,0.716,0.28400000000000003,0.7609427609427609,1.0130817309463231,0.027654775149666258,inf,"<a href=""./images/GradientBoostingClassifier_confusion_matrix_6e9cb10a-71fe-11ec-82b7-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_6e9cb10a-71fe-11ec-82b7-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_confusion_matrix_percentage_6ec2d4f0-71fe-11ec-9f6d-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_percentage_6ec2d4f0-71fe-11ec-9f6d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_roc_6e71c494-71fe-11ec-98d3-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_roc_6e71c494-71fe-11ec-98d3-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,108,60,65,17,0.864,0.48,0.6242774566473989,0.672,0.32799999999999996,0.7248322147651007,0.9313219018277781,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_3af13900-71fe-11ec-a447-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_3af13900-71fe-11ec-a447-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_3b19c036-71fe-11ec-8ab8-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_3b19c036-71fe-11ec-8ab8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_3ac3efb4-71fe-11ec-bf57-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_3ac3efb4-71fe-11ec-bf57-f0421cdfcb2c.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.0,0.015624046325683594,115,52,73,10,0.92,0.416,0.6117021276595744,0.668,0.33199999999999996,0.7348242811501596,0.9301871726181457,inf,47.031624576164916,"<a href=""./images/KNeighborsClassifier_confusion_matrix_40c81a94-71fe-11ec-86bc-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_40c81a94-71fe-11ec-86bc-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_40f302ba-71fe-11ec-9671-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_40f302ba-71fe-11ec-9671-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_4093a5a4-71fe-11ec-a02d-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_roc_4093a5a4-71fe-11ec-a02d-f0421cdfcb2c.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,57.76557779312134,0.01563858985900879,105,60,65,20,0.84,0.48,0.6176470588235294,0.66,0.33999999999999997,0.711864406779661,0.9098145563310069,0.012323332233066127,45.51973120323143,"<a href=""./images/RealBoost_confusion_matrix_37ea5be4-71fe-11ec-986d-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_37ea5be4-71fe-11ec-986d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_3812ec80-71fe-11ec-b31e-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_3812ec80-71fe-11ec-b31e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_37b853ec-71fe-11ec-b0d1-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_37b853ec-71fe-11ec-b0d1-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,122,36,89,3,0.976,0.288,0.5781990521327014,0.632,0.368,0.7261904761904762,0.882254273743291,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_3df5b24c-71fe-11ec-84aa-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_3df5b24c-71fe-11ec-84aa-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_3e1bd75a-71fe-11ec-91b5-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_3e1bd75a-71fe-11ec-91b5-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_3dc603e2-71fe-11ec-8dc3-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_3dc603e2-71fe-11ec-8dc3-f0421cdfcb2c.png"" width=200 height=200 /></a>"
