method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
DenseNet169,,8638.534138917923,75.8279812335968,235,207,43,15,0.94,0.828,0.8453237410071942,0.884,0.11599999999999999,0.8901515151515151,1.6568770971937186,0.00010304427821165235,0.011739090249670518,"<a href=""./images/DenseNet169_confusion_matrix_084c891a-519e-11ec-a462-34e6adc36e41.png""><img src=""./images/DenseNet169_confusion_matrix_084c891a-519e-11ec-a462-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet169_confusion_matrix_percentage_086c2de9-519e-11ec-b6e3-34e6adc36e41.png""><img src=""./images/DenseNet169_confusion_matrix_percentage_086c2de9-519e-11ec-b6e3-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet169_roc_087f1649-519e-11ec-8386-34e6adc36e41.png""><img src=""./images/DenseNet169_roc_087f1649-519e-11ec-8386-34e6adc36e41.png"" width=200 height=200 /></a>"
DenseNet121,,7241.039027929306,62.044753551483154,239,188,62,11,0.956,0.752,0.7940199335548173,0.854,0.14600000000000002,0.867513611615245,1.4542903060124193,0.00011980512855533175,0.013982062333367224,"<a href=""./images/DenseNet121_confusion_matrix_b7168910-5189-11ec-a234-34e6adc36e41.png""><img src=""./images/DenseNet121_confusion_matrix_b7168910-5189-11ec-a234-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet121_confusion_matrix_percentage_b730423d-5189-11ec-bc4a-34e6adc36e41.png""><img src=""./images/DenseNet121_confusion_matrix_percentage_b730423d-5189-11ec-bc4a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet121_roc_b73ffddc-5189-11ec-b168-34e6adc36e41.png""><img src=""./images/DenseNet121_roc_b73ffddc-5189-11ec-b168-34e6adc36e41.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,9931.35180234909,0.7051217555999756,213,204,46,37,0.852,0.816,0.8223938223938224,0.834,0.16600000000000004,0.8369351669941061,1.3533166042906521,8.427202898966316e-05,1.1869370932711796,"<a href=""./images/GradientBoostingClassifier_confusion_matrix_b0774151-5178-11ec-a233-34e6adc36e41.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_b0774151-5178-11ec-a233-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_confusion_matrix_percentage_b0950537-5178-11ec-b903-34e6adc36e41.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_percentage_b0950537-5178-11ec-b903-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_roc_b050fffd-5178-11ec-9ed5-34e6adc36e41.png""><img src=""./images/GradientBoostingClassifier_roc_b050fffd-5178-11ec-9ed5-34e6adc36e41.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,313.3787031173706,209.27587985992432,215,199,51,35,0.86,0.796,0.8082706766917294,0.828,0.17200000000000004,0.8333333333333333,1.3272890831730488,0.002659189424947051,0.003981984612326621,"<a href=""./images/NonLinearSVM_confusion_matrix_ef11c529-515b-11ec-be38-34e6adc36e41.png""><img src=""./images/NonLinearSVM_confusion_matrix_ef11c529-515b-11ec-be38-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_ef36c5cb-515b-11ec-b5bd-34e6adc36e41.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_ef36c5cb-515b-11ec-b5bd-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_ed8712fb-515b-11ec-b59e-34e6adc36e41.png""><img src=""./images/NonLinearSVM_roc_ed8712fb-515b-11ec-b59e-34e6adc36e41.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,2344.3362514972687,30.90525197982788,217,194,56,33,0.868,0.776,0.7948717948717948,0.822,0.17800000000000005,0.8298279158699808,1.3027988902311587,0.00035397137050625335,0.026850708624269318,"<a href=""./images/AdaBoostClassifier_confusion_matrix_8d5e7d93-5161-11ec-80e2-34e6adc36e41.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_8d5e7d93-5161-11ec-80e2-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_8d9d2094-5161-11ec-bff6-34e6adc36e41.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_8d9d2094-5161-11ec-bff6-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_8d01063b-5161-11ec-80be-34e6adc36e41.png""><img src=""./images/AdaBoostClassifier_roc_8d01063b-5161-11ec-80be-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,6918.043571949005,1.1868736743927002,207,203,47,43,0.828,0.812,0.8149606299212598,0.82,0.18000000000000005,0.8214285714285714,1.2937659042619671,0.00011873712024007275,0.6920943560812234,"<a href=""./images/RealBoost_confusion_matrix_5e889626-5157-11ec-853d-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_5e889626-5157-11ec-853d-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_5eba3b99-5157-11ec-b9ee-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_percentage_5eba3b99-5157-11ec-b9ee-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_5e0bea32-5157-11ec-a8ff-34e6adc36e41.png""><img src=""./images/RealBoost_roc_5e0bea32-5157-11ec-a8ff-34e6adc36e41.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,1070.0591912269592,2.6859583854675293,203,204,46,47,0.812,0.816,0.8152610441767069,0.814,0.18600000000000005,0.8136272545090181,1.2701741402743303,0.0007603572411504552,0.30291878642319126,"<a href=""./images/LinearSVM_confusion_matrix_26a2749a-515a-11ec-827a-34e6adc36e41.png""><img src=""./images/LinearSVM_confusion_matrix_26a2749a-515a-11ec-827a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_26da3787-515a-11ec-9b10-34e6adc36e41.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_26da3787-515a-11ec-9b10-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_26121766-515a-11ec-889c-34e6adc36e41.png""><img src=""./images/LinearSVM_roc_26121766-515a-11ec-889c-34e6adc36e41.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.2687356472015381,12.05286169052124,211,193,57,39,0.844,0.772,0.7873134328358209,0.808,0.19199999999999995,0.8146718146718146,1.2493005839528228,3.0314988843324238,0.0675915675123443,"<a href=""./images/KNeighborsClassifier_confusion_matrix_a3684c23-5157-11ec-9b95-34e6adc36e41.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_a3684c23-5157-11ec-9b95-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_a3a0513e-5157-11ec-ba68-34e6adc36e41.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_a3a0513e-5157-11ec-ba68-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_a33b2215-5157-11ec-ade2-34e6adc36e41.png""><img src=""./images/KNeighborsClassifier_roc_a33b2215-5157-11ec-ade2-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,662.2896556854248,378.0406346321106,200,170,80,50,0.8,0.68,0.7142857142857143,0.74,0.26,0.7547169811320756,1.0554024466099938,0.001139557253617369,0.0019963911600839597,"<a href=""./images/DiscreteNBC_confusion_matrix_3e43b523-5147-11ec-b858-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_3e43b523-5147-11ec-b858-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_3e69be1f-5147-11ec-b2d2-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_3e69be1f-5147-11ec-b2d2-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_3e15dcc6-5147-11ec-af06-34e6adc36e41.png""><img src=""./images/DiscreteNBC_roc_3e15dcc6-5147-11ec-af06-34e6adc36e41.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),16.866846323013306,11.412570714950562,206,154,96,44,0.824,0.616,0.6821192052980133,0.72,0.28,0.7463768115942029,1.01454318346976,0.04425111827667739,0.06539953444638404,"<a href=""./images/GaussianNBC_confusion_matrix_8b3b80c6-5157-11ec-9442-34e6adc36e41.png""><img src=""./images/GaussianNBC_confusion_matrix_8b3b80c6-5157-11ec-9442-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_8b6d7687-5157-11ec-b63c-34e6adc36e41.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_8b6d7687-5157-11ec-b63c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_8b115041-5157-11ec-b6df-34e6adc36e41.png""><img src=""./images/GaussianNBC_roc_8b115041-5157-11ec-b6df-34e6adc36e41.png"" width=200 height=200 /></a>"
