method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
LP,Linear perceptron classifier,0.015619516372680664,0.0,106,92,33,19,0.848,0.736,0.762589928057554,0.792,0.20799999999999996,0.8030303030303031,1.1961433750901378,51.41198253966713,inf,"<a href=""./images/LP_confusion_matrix_def39d46-71fb-11ec-a7bd-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_def39d46-71fb-11ec-a7bd-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_confusion_matrix_percentage_df1e9198-71fb-11ec-a27e-f0421cdfcb2c.png""><img src=""./images/LP_confusion_matrix_percentage_df1e9198-71fb-11ec-a27e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LP_roc_debcc67a-71fb-11ec-bd6c-f0421cdfcb2c.png""><img src=""./images/LP_roc_debcc67a-71fb-11ec-bd6c-f0421cdfcb2c.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,0.03120708465576172,0.015665531158447266,118,66,59,7,0.944,0.528,0.6666666666666666,0.736,0.264,0.7814569536423842,1.0569830222757375,25.04101111213876,49.88384662724967,"<a href=""./images/NonLinearSVM_confusion_matrix_dbecc1d8-71fb-11ec-b02a-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_dbecc1d8-71fb-11ec-b02a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_confusion_matrix_percentage_dc1a184a-71fb-11ec-a2c3-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_confusion_matrix_percentage_dc1a184a-71fb-11ec-a2c3-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/NonLinearSVM_roc_dbbaaff0-71fb-11ec-9ca7-f0421cdfcb2c.png""><img src=""./images/NonLinearSVM_roc_dbbaaff0-71fb-11ec-9ca7-f0421cdfcb2c.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,0.07812023162841797,0.0,99,85,40,26,0.792,0.68,0.7122302158273381,0.736,0.264,0.75,1.0458109003706126,9.60058597326497,inf,"<a href=""./images/LinearSVM_confusion_matrix_d8c948c0-71fb-11ec-9d03-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_d8c948c0-71fb-11ec-9d03-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_confusion_matrix_percentage_d8f69742-71fb-11ec-a721-f0421cdfcb2c.png""><img src=""./images/LinearSVM_confusion_matrix_percentage_d8f69742-71fb-11ec-a721-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/LinearSVM_roc_d894d486-71fb-11ec-a52a-f0421cdfcb2c.png""><img src=""./images/LinearSVM_roc_d894d486-71fb-11ec-a52a-f0421cdfcb2c.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,3.1718204021453857,0.062413930892944336,109,74,51,16,0.872,0.592,0.68125,0.732,0.268,0.7649122807017543,1.043315468709086,0.24115876175850806,12.255473573900868,"<a href=""./images/AdaBoostClassifier_confusion_matrix_e79ce876-71fb-11ec-bc85-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_e79ce876-71fb-11ec-bc85-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_confusion_matrix_percentage_e7dfab0c-71fb-11ec-849c-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_confusion_matrix_percentage_e7dfab0c-71fb-11ec-849c-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/AdaBoostClassifier_roc_e763b036-71fb-11ec-8a74-f0421cdfcb2c.png""><img src=""./images/AdaBoostClassifier_roc_e763b036-71fb-11ec-8a74-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GradientBoostingClassifier,An GradientBoost classifier,6.718494653701782,0.0,112,67,58,13,0.896,0.536,0.6588235294117647,0.716,0.28400000000000003,0.7593220338983051,1.0124560459466672,0.11301966780310392,inf,"<a href=""./images/GradientBoostingClassifier_confusion_matrix_eebf34ca-71fb-11ec-ac94-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_eebf34ca-71fb-11ec-ac94-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_confusion_matrix_percentage_ef1042ba-71fb-11ec-bded-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_confusion_matrix_percentage_ef1042ba-71fb-11ec-bded-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GradientBoostingClassifier_roc_ee9448f6-71fb-11ec-bee8-f0421cdfcb2c.png""><img src=""./images/GradientBoostingClassifier_roc_ee9448f6-71fb-11ec-bee8-f0421cdfcb2c.png"" width=200 height=200 /></a>"
MLP,Multi-layer Perceptron classifier.,0.5627796649932861,0.0,99,71,54,26,0.792,0.568,0.6470588235294118,0.68,0.31999999999999995,0.712230215827338,0.9373209902666102,1.2655578375168102,inf,"<a href=""./images/MLP_confusion_matrix_e25c3aee-71fb-11ec-82e1-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_e25c3aee-71fb-11ec-82e1-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_confusion_matrix_percentage_e28e4b76-71fb-11ec-a999-f0421cdfcb2c.png""><img src=""./images/MLP_confusion_matrix_percentage_e28e4b76-71fb-11ec-a999-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MLP_roc_e22c8e34-71fb-11ec-9813-f0421cdfcb2c.png""><img src=""./images/MLP_roc_e22c8e34-71fb-11ec-9813-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,108,60,65,17,0.864,0.48,0.6242774566473989,0.672,0.32799999999999996,0.7248322147651007,0.9313219018277781,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_cfb251f0-71fb-11ec-aa9e-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_cfb251f0-71fb-11ec-aa9e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_cfedf4fa-71fb-11ec-b283-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_cfedf4fa-71fb-11ec-b283-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_cf876836-71fb-11ec-b9ca-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_cf876836-71fb-11ec-b9ca-f0421cdfcb2c.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.0,0.015677213668823242,115,52,73,10,0.92,0.416,0.6117021276595744,0.668,0.33199999999999996,0.7348242811501596,0.9301871726181457,inf,46.87212260246733,"<a href=""./images/KNeighborsClassifier_confusion_matrix_d59ea9da-71fb-11ec-a84c-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_d59ea9da-71fb-11ec-a84c-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_d5c73192-71fb-11ec-995c-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_d5c73192-71fb-11ec-995c-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_d573c52e-71fb-11ec-9e17-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_roc_d573c52e-71fb-11ec-9e17-f0421cdfcb2c.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,14.03123426437378,0.015620231628417969,102,62,63,23,0.816,0.496,0.6181818181818182,0.656,0.344,0.7034482758620689,0.9010399941678211,0.05013445450398972,45.034433073468755,"<a href=""./images/RealBoost_confusion_matrix_ccc0eac2-71fb-11ec-a950-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_ccc0eac2-71fb-11ec-a950-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_cce973c0-71fb-11ec-9d2f-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_cce973c0-71fb-11ec-9d2f-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_cc95ff62-71fb-11ec-9422-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_cc95ff62-71fb-11ec-9422-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,122,36,89,3,0.976,0.288,0.5781990521327014,0.632,0.368,0.7261904761904762,0.882254273743291,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_d2a3b942-71fb-11ec-af00-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_d2a3b942-71fb-11ec-af00-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_d2cc4050-71fb-11ec-9910-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_d2cc4050-71fb-11ec-9910-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_d278cde8-71fb-11ec-b4a5-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_d278cde8-71fb-11ec-b4a5-f0421cdfcb2c.png"" width=200 height=200 /></a>"
